Area ID, x, y
1.000000000000000000e+00,6.700000000000000000e+04,4.400000000000000000e+04
2.000000000000000000e+00,1.030000000000000000e+05,4.200000000000000000e+04
3.000000000000000000e+00,1.140000000000000000e+05,7.200000000000000000e+04
4.000000000000000000e+00,1.050000000000000000e+05,6.800000000000000000e+04
5.000000000000000000e+00,3.900000000000000000e+04,8.000000000000000000e+04
6.000000000000000000e+00,7.300000000000000000e+04,8.900000000000000000e+04
7.000000000000000000e+00,8.300000000000000000e+04,7.700000000000000000e+04
8.000000000000000000e+00,6.200000000000000000e+04,6.700000000000000000e+04
9.000000000000000000e+00,8.000000000000000000e+04,7.600000000000000000e+04
1.000000000000000000e+01,9.900000000000000000e+04,6.200000000000000000e+04
1.100000000000000000e+01,9.600000000000000000e+04,4.900000000000000000e+04
1.200000000000000000e+01,1.500000000000000000e+05,8.200000000000000000e+04
1.300000000000000000e+01,1.470000000000000000e+05,9.100000000000000000e+04
1.400000000000000000e+01,1.700000000000000000e+04,1.020000000000000000e+05
1.500000000000000000e+01,1.000000000000000000e+05,1.160000000000000000e+05
1.600000000000000000e+01,1.210000000000000000e+05,1.200000000000000000e+05
1.700000000000000000e+01,1.500000000000000000e+05,1.220000000000000000e+05
1.800000000000000000e+01,1.660000000000000000e+05,1.250000000000000000e+05
1.900000000000000000e+01,1.390000000000000000e+05,1.420000000000000000e+05
2.000000000000000000e+01,1.610000000000000000e+05,1.450000000000000000e+05
2.100000000000000000e+01,2.700000000000000000e+04,1.380000000000000000e+05
2.200000000000000000e+01,3.700000000000000000e+04,1.520000000000000000e+05
2.300000000000000000e+01,3.100000000000000000e+04,1.660000000000000000e+05
2.400000000000000000e+01,5.600000000000000000e+04,1.620000000000000000e+05
2.500000000000000000e+01,2.700000000000000000e+04,1.780000000000000000e+05
2.600000000000000000e+01,8.700000000000000000e+04,1.870000000000000000e+05
2.700000000000000000e+01,1.410000000000000000e+05,1.670000000000000000e+05
2.800000000000000000e+01,1.540000000000000000e+05,1.840000000000000000e+05
2.900000000000000000e+01,5.700000000000000000e+04,1.220000000000000000e+05
3.000000000000000000e+01,7.600000000000000000e+04,1.380000000000000000e+05
3.100000000000000000e+01,8.400000000000000000e+04,1.470000000000000000e+05
3.200000000000000000e+01,1.010000000000000000e+05,1.610000000000000000e+05
3.300000000000000000e+01,1.180000000000000000e+05,1.860000000000000000e+05
